param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,std_test_score,rank_test_score
True,entropy,5,sqrt,0.0032243239064390426,11,10,803,0.6880080165228145,0.01731195168160708,1
True,entropy,5,sqrt,0.0018127998949907286,26,47,829,0.684048048773069,0.020315447779571786,2
True,entropy,5,sqrt,0.0008111973407262668,26,17,968,0.683695212127254,0.020776242934869852,3
True,entropy,4,sqrt,0.0023939136890745254,23,12,1578,0.6817117648809563,0.016335225137367772,4
True,entropy,5,sqrt,0.0033985508832905372,39,20,739,0.6813344277851963,0.01950047625559216,5
True,entropy,5,sqrt,0.0013721812687498402,46,41,934,0.6809526965838182,0.022845955462959575,6
True,entropy,3,sqrt,0.0041397737962343365,23,48,1344,0.6788107127309576,0.013925975602870918,7
True,entropy,4,sqrt,0.006597914575728832,37,25,739,0.6770119290514952,0.01223400832059022,8
True,entropy,3,sqrt,0.005479954961448965,25,27,1428,0.6766559565421445,0.012814855562260481,9
True,entropy,4,sqrt,0.005264734825734933,33,46,648,0.6763697822457307,0.014987752127004277,10
True,entropy,5,sqrt,0.009049323267683089,18,35,1114,0.6762539740529515,0.007692246413202148,11
True,entropy,4,sqrt,0.007287491292803866,32,20,637,0.6760813544574104,0.011870574576114245,12
True,entropy,3,sqrt,0.008401020317667162,13,38,1252,0.675589229489946,0.008287324265111687,13
True,entropy,2,sqrt,0.0017182596551965621,16,18,1197,0.6755880605970871,0.012257137710013044,14
True,entropy,2,sqrt,0.0017546986474318948,31,37,1127,0.6748742381145032,0.013035301288997604,15
True,entropy,2,sqrt,0.004872607415662014,26,11,1191,0.6748090031123023,0.01193991071307565,16
True,entropy,4,sqrt,0.007730553347731676,41,13,1034,0.6746775212061263,0.01202964767843687,17
True,entropy,3,sqrt,0.006465909113598611,49,13,1575,0.6739777483802625,0.014337475522348472,18
True,entropy,2,sqrt,0.00468198374076953,36,22,1259,0.6738498626548179,0.013320206867810208,19
True,entropy,2,sqrt,0.004858814621061985,27,11,1371,0.6737619181850456,0.012777233686272052,20
True,entropy,3,sqrt,0.010863495397682353,16,17,584,0.6734995786939386,0.007060320983314227,21
True,entropy,2,sqrt,0.007357488779543144,27,13,1150,0.6733138983748996,0.009635268323805166,22
True,entropy,5,sqrt,0.00861134129063163,46,42,1233,0.6731169155458634,0.011804116567654831,23
True,entropy,4,sqrt,0.009666260689167257,24,38,1609,0.6729558563752777,0.008070963295971846,24
True,entropy,4,sqrt,0.01148933518305359,12,29,701,0.6726786052305536,0.007973121476853091,25
True,entropy,5,sqrt,0.008974401804106464,41,18,1672,0.6719320839035023,0.010481778015899956,26
True,entropy,5,sqrt,0.010163362070328197,36,44,1510,0.671886940189426,0.009060613930425862,27
True,entropy,5,sqrt,0.00931029932154682,34,44,702,0.6717258180145625,0.012196350273643831,28
True,entropy,2,sqrt,0.010084587458903692,15,31,1301,0.6712608661434175,0.007959908236122835,29
True,entropy,5,sqrt,0.010763465427634235,28,35,696,0.6711821494991307,0.009050409192130762,30
True,entropy,2,sqrt,0.009401267484957723,34,38,564,0.6708654080330243,0.008726917433078291,31
True,entropy,2,sqrt,0.009616725176148132,33,12,1319,0.6706814176885695,0.00961977295687159,32
True,entropy,5,sqrt,0.010277591856141747,42,49,1100,0.6705683667084261,0.010895396159270754,33
True,entropy,3,sqrt,0.011509079937846313,24,17,1566,0.6705415988944269,0.008591130446933123,34
True,entropy,4,sqrt,0.010810581773321502,35,41,796,0.6705207488658115,0.010322751955486171,35
True,entropy,3,sqrt,0.012377639420895203,12,46,1196,0.6704206072973081,0.009607362822791732,36
True,entropy,5,sqrt,0.01312953743383857,15,25,1209,0.6696712954620745,0.010384108343442128,37
True,entropy,2,sqrt,0.009862222644415747,31,34,1024,0.6696572093518807,0.009981932683234886,38
True,entropy,3,sqrt,0.012721805693466254,15,37,1601,0.6696089178622007,0.009215885985454938,39
True,entropy,3,sqrt,0.012298133187864357,33,20,653,0.6692530783767161,0.010765068057451824,40
True,entropy,2,sqrt,0.011259943345286811,35,22,1413,0.6691115274793106,0.01017441437952599,41
True,entropy,4,sqrt,0.012548144802903493,24,17,1594,0.6690281398841046,0.010025753763348499,42
True,entropy,2,sqrt,0.00968939962171517,48,37,684,0.6688670284069612,0.010704307940736523,43
True,entropy,2,sqrt,0.009949471902413368,43,42,1621,0.6686294117796995,0.010271236550404251,44
True,entropy,3,sqrt,0.013165651588609918,20,37,1022,0.6683151061255389,0.011353497698808463,45
True,entropy,3,sqrt,0.012226992350416717,43,19,1545,0.6675092945631672,0.011696239974714386,46
True,entropy,5,sqrt,0.013086639612006325,47,11,1505,0.6666099831278963,0.01195271619940927,47
True,entropy,3,sqrt,0.015176731240814409,21,48,1686,0.6647090102389432,0.014396432794463822,48
True,entropy,3,sqrt,0.014470404274178441,39,44,812,0.6645817087316015,0.013948931548834061,49
True,entropy,5,sqrt,0.014743645558687787,41,41,1686,0.6637208755882725,0.014480740951221111,50
